file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/T57ProtocolDecoder.java,org.traccar.protocol.T57ProtocolDecoder,class,7,7,0,7,4,2,0,21,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,26,3,0,1,0,0,16,0,4,0,4,1,0,0,0,33,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/PstProtocolDecoder.java,org.traccar.protocol.PstProtocolDecoder,class,9,12,3,9,15,2,0,40,6,0.6666667,0.0,0.0,5,0,1,3,1,0,2,0,0,0,3,3,3,0,0,0,3,0,1,84,5,1,4,0,1,0,32,21,6,20,4,0,0,0,61,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/HuabaoProtocol.java,org.traccar.protocol.HuabaoProtocol,class,4,4,0,4,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/session/state/MotionState.java,org.traccar.session.state.MotionState,class,3,6,3,3,13,1,0,8,26,0.7307692,0.2948718,0.5897436,13,1,13,0,0,0,13,0,0,0,6,0,0,6,0,0,0,0,0,59,7,0,0,0,0,0,0,14,0,7,0,0,0,0,20,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/TrackerClient.java,org.traccar.TrackerClient,class,11,13,2,11,9,1,0,19,20,0.76785713,0.14285715,0.25,8,0,7,0,1,0,8,1,0,0,7,0,0,7,0,0,7,0,1,69,4,0,0,0,0,1,2,8,0,8,0,2,0,0,34,1025,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/IntellitracProtocol.java,org.traccar.protocol.IntellitracProtocol$Anonymous1,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,-1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/MiniFinderProtocolDecoder.java,org.traccar.protocol.MiniFinderProtocolDecoder,class,8,9,1,8,35,2,0,42,8,0.67999995,0.0,0.0,5,0,1,3,1,0,2,0,0,0,5,5,0,5,0,0,5,0,2,127,12,1,1,0,0,27,41,17,3,16,3,0,0,0,52,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/notificators/NotificatorTelegram.java,org.traccar.notificators.NotificatorTelegram$LocationMessage,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,8,9,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/VltProtocolDecoder.java,org.traccar.protocol.VltProtocolDecoder,class,11,13,2,11,12,3,0,36,1,0.33333334,0.0,0.0,3,0,1,1,1,0,2,0,0,0,1,1,0,1,0,0,1,0,2,60,6,1,1,0,0,26,11,21,1,17,2,0,0,0,55,1,0
/Users/luizportela/Documents/udesc/7a-fase/quad/qualidade-trabalho/traccar/src/main/java/org/traccar/protocol/AutoFonFrameDecoder.java,org.traccar.protocol.AutoFonFrameDecoder,class,4,5,1,4,9,2,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,1,0,0,0,8,6,0,1,1,0,0,0,16,1,0
