class,bugs_5.4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$ICONDt$Builder,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$LLSDt,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$LLSDt$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$LOG,11
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$LOG$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$NAV,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$NAV$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$OBDDt_J1979,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$OBDDt_J1979$Builder,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$APC,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$APC$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Builder,22
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$ExCAN,8
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$ExCAN$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$FuelSensorModbus,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$FuelSensorModbus$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$GenComm,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$GenComm$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$MobileEye,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$MobileEye$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$OneWire,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$OneWire$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Pherip,7
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Pherip$Builder,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$SafeDriving,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$SafeDriving$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Taho_DDD,7
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$Taho_DDD$Builder,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$WeightControl,7
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Other$WeightControl$Builder,2
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Photo,6
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$Photo$Builder,4
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$UniDt,5
org.traccar.protobuf.omnicomm.OmnicommMessageOuterClass$OmnicommMessage$UniDt$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage,1
org.traccar.protobuf.starlink.StarLinkMessage$StarLink_Message,5
org.traccar.protobuf.starlink.StarLinkMessage$StarLink_Message$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mAuthenticate,6
org.traccar.protobuf.starlink.StarLinkMessage$mAuthenticate$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mConfigServer,6
org.traccar.protobuf.starlink.StarLinkMessage$mConfigServer$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mConfirmation,7
org.traccar.protobuf.starlink.StarLinkMessage$mConfirmation$Builder,2
org.traccar.protobuf.starlink.StarLinkMessage$mDeviceList,8
org.traccar.protobuf.starlink.StarLinkMessage$mDeviceList$Builder,2
